slika;niti;zagon;cas_s
valve.png;32;1;0.490118
valve.png;32;2;0.491245
valve.png;32;3;0.492657
valve.png;32;4;0.496199
valve.png;32;5;0.495195
../test_images/720x480.png;32;1;0.640553
../test_images/720x480.png;32;2;0.641232
../test_images/720x480.png;32;3;0.641409
../test_images/720x480.png;32;4;0.641212
../test_images/720x480.png;32;5;0.643095
../test_images/1024x768.png;32;1;1.512387
../test_images/1024x768.png;32;2;1.510294
../test_images/1024x768.png;32;3;1.507913
../test_images/1024x768.png;32;4;1.509310
../test_images/1024x768.png;32;5;1.506671
../test_images/1920x1200.png;32;1;4.585563
../test_images/1920x1200.png;32;2;4.596596
../test_images/1920x1200.png;32;3;4.597669
../test_images/1920x1200.png;32;4;4.579835
../test_images/1920x1200.png;32;5;4.592409
../test_images/3840x2160.png;32;1;16.920326
../test_images/3840x2160.png;32;2;16.829178
../test_images/3840x2160.png;32;3;16.904157
../test_images/3840x2160.png;32;4;16.901263
../test_images/3840x2160.png;32;5;16.906124
../test_images/7680x4320.png;32;1;67.625000
../test_images/7680x4320.png;32;2;67.611118
../test_images/7680x4320.png;32;3;67.626121
../test_images/7680x4320.png;32;4;68.038210
../test_images/7680x4320.png;32;5;67.652105
