slika;niti;zagon;cas_s
valve.png;2;1;0.285997
valve.png;2;2;0.285863
valve.png;2;3;0.286487
valve.png;2;4;0.287880
valve.png;2;5;0.287238
../test_images/720x480.png;2;1;0.364800
../test_images/720x480.png;2;2;0.363861
../test_images/720x480.png;2;3;0.362875
../test_images/720x480.png;2;4;0.364500
../test_images/720x480.png;2;5;0.359292
../test_images/1024x768.png;2;1;0.813394
../test_images/1024x768.png;2;2;0.814069
../test_images/1024x768.png;2;3;0.813978
../test_images/1024x768.png;2;4;0.813948
../test_images/1024x768.png;2;5;0.814908
../test_images/1920x1200.png;2;1;2.383458
../test_images/1920x1200.png;2;2;2.366586
../test_images/1920x1200.png;2;3;2.371309
../test_images/1920x1200.png;2;4;2.382407
../test_images/1920x1200.png;2;5;2.375937
../test_images/3840x2160.png;2;1;8.523416
../test_images/3840x2160.png;2;2;8.557424
../test_images/3840x2160.png;2;3;8.542315
../test_images/3840x2160.png;2;4;8.526688
../test_images/3840x2160.png;2;5;8.545998
../test_images/7680x4320.png;2;1;34.019432
../test_images/7680x4320.png;2;2;33.453379
../test_images/7680x4320.png;2;3;35.197637
../test_images/7680x4320.png;2;4;33.875548
../test_images/7680x4320.png;2;5;34.446828
