slika;niti;zagon;cas_s
valve.png;16;1;0.080124
valve.png;16;2;0.068815
valve.png;16;3;0.074016
valve.png;16;4;0.069765
valve.png;16;5;0.070961
../test_images/720x480.png;16;1;0.091123
../test_images/720x480.png;16;2;0.090475
../test_images/720x480.png;16;3;0.088327
../test_images/720x480.png;16;4;0.087719
../test_images/720x480.png;16;5;0.089166
../test_images/1024x768.png;16;1;0.193219
../test_images/1024x768.png;16;2;0.190878
../test_images/1024x768.png;16;3;0.189640
../test_images/1024x768.png;16;4;0.197616
../test_images/1024x768.png;16;5;0.200302
../test_images/1920x1200.png;16;1;0.592808
../test_images/1920x1200.png;16;2;0.595020
../test_images/1920x1200.png;16;3;0.591619
../test_images/1920x1200.png;16;4;0.583590
../test_images/1920x1200.png;16;5;0.580930
../test_images/3840x2160.png;16;1;1.979313
../test_images/3840x2160.png;16;2;2.003412
../test_images/3840x2160.png;16;3;1.957615
../test_images/3840x2160.png;16;4;1.885333
../test_images/3840x2160.png;16;5;1.962101
../test_images/7680x4320.png;16;1;7.947917
../test_images/7680x4320.png;16;2;7.821399
../test_images/7680x4320.png;16;3;7.592710
../test_images/7680x4320.png;16;4;7.591359
../test_images/7680x4320.png;16;5;7.653691
