slika;niti;zagon;cas_s
valve.png;1;1;0.477380
valve.png;1;2;0.476234
valve.png;1;3;0.479230
valve.png;1;4;0.479379
valve.png;1;5;0.476733
../test_images/720x480.png;1;1;0.618439
../test_images/720x480.png;1;2;0.619366
../test_images/720x480.png;1;3;0.619814
../test_images/720x480.png;1;4;0.619661
../test_images/720x480.png;1;5;0.618296
../test_images/1024x768.png;1;1;1.465188
../test_images/1024x768.png;1;2;1.463970
../test_images/1024x768.png;1;3;1.464831
../test_images/1024x768.png;1;4;1.461493
../test_images/1024x768.png;1;5;1.463120
../test_images/1920x1200.png;1;1;4.445798
../test_images/1920x1200.png;1;2;4.512743
../test_images/1920x1200.png;1;3;4.444815
../test_images/1920x1200.png;1;4;4.688325
../test_images/1920x1200.png;1;5;4.450427
../test_images/3840x2160.png;1;1;16.471384
../test_images/3840x2160.png;1;2;16.442423
../test_images/3840x2160.png;1;3;17.082592
../test_images/3840x2160.png;1;4;16.360495
../test_images/3840x2160.png;1;5;16.357098
../test_images/7680x4320.png;1;1;67.079226
../test_images/7680x4320.png;1;2;69.316613
../test_images/7680x4320.png;1;3;70.532292
../test_images/7680x4320.png;1;4;68.609497
../test_images/7680x4320.png;1;5;67.034712
