slika;niti;zagon;cas_s
valve.png;2;1;0.037726
valve.png;2;2;0.037535
valve.png;2;3;0.037649
valve.png;2;4;0.037697
valve.png;2;5;0.038466
../test_images/720x480.png;2;1;0.049463
../test_images/720x480.png;2;2;0.049172
../test_images/720x480.png;2;3;0.048982
../test_images/720x480.png;2;4;0.049049
../test_images/720x480.png;2;5;0.049477
../test_images/1024x768.png;2;1;0.109120
../test_images/1024x768.png;2;2;0.108831
../test_images/1024x768.png;2;3;0.110332
../test_images/1024x768.png;2;4;0.109423
../test_images/1024x768.png;2;5;0.108949
../test_images/1920x1200.png;2;1;0.344908
../test_images/1920x1200.png;2;2;0.343851
../test_images/1920x1200.png;2;3;0.344207
../test_images/1920x1200.png;2;4;0.343839
../test_images/1920x1200.png;2;5;0.343804
../test_images/3840x2160.png;2;1;1.278678
../test_images/3840x2160.png;2;2;1.280571
../test_images/3840x2160.png;2;3;1.279970
../test_images/3840x2160.png;2;4;1.276786
../test_images/3840x2160.png;2;5;1.279250
../test_images/7680x4320.png;2;1;5.166899
../test_images/7680x4320.png;2;2;5.003750
../test_images/7680x4320.png;2;3;5.050660
../test_images/7680x4320.png;2;4;5.125590
../test_images/7680x4320.png;2;5;5.002498
