slika;niti;zagon;cas_s
valve.png;16;1;0.014998
valve.png;16;2;0.015058
valve.png;16;3;0.015202
valve.png;16;4;0.015357
valve.png;16;5;0.015156
../test_images/720x480.png;16;1;0.016888
../test_images/720x480.png;16;2;0.017164
../test_images/720x480.png;16;3;0.016867
../test_images/720x480.png;16;4;0.017051
../test_images/720x480.png;16;5;0.016921
../test_images/1024x768.png;16;1;0.035605
../test_images/1024x768.png;16;2;0.035454
../test_images/1024x768.png;16;3;0.035678
../test_images/1024x768.png;16;4;0.035755
../test_images/1024x768.png;16;5;0.034913
../test_images/1920x1200.png;16;1;0.082801
../test_images/1920x1200.png;16;2;0.083247
../test_images/1920x1200.png;16;3;0.083014
../test_images/1920x1200.png;16;4;0.079992
../test_images/1920x1200.png;16;5;0.083074
../test_images/3840x2160.png;16;1;0.295848
../test_images/3840x2160.png;16;2;0.291113
../test_images/3840x2160.png;16;3;0.287298
../test_images/3840x2160.png;16;4;0.289124
../test_images/3840x2160.png;16;5;0.289493
../test_images/7680x4320.png;16;1;0.952357
../test_images/7680x4320.png;16;2;0.982330
../test_images/7680x4320.png;16;3;0.960590
../test_images/7680x4320.png;16;4;0.958780
../test_images/7680x4320.png;16;5;0.953555
