slika;niti;zagon;cas_s
valve.png;4;1;0.021714
valve.png;4;2;0.021512
valve.png;4;3;0.021773
valve.png;4;4;0.021495
valve.png;4;5;0.021823
../test_images/720x480.png;4;1;0.028187
../test_images/720x480.png;4;2;0.027767
../test_images/720x480.png;4;3;0.027759
../test_images/720x480.png;4;4;0.027634
../test_images/720x480.png;4;5;0.027856
../test_images/1024x768.png;4;1;0.060038
../test_images/1024x768.png;4;2;0.060517
../test_images/1024x768.png;4;3;0.059672
../test_images/1024x768.png;4;4;0.060100
../test_images/1024x768.png;4;5;0.059949
../test_images/1920x1200.png;4;1;0.184419
../test_images/1920x1200.png;4;2;0.184179
../test_images/1920x1200.png;4;3;0.184592
../test_images/1920x1200.png;4;4;0.184276
../test_images/1920x1200.png;4;5;0.184255
../test_images/3840x2160.png;4;1;0.688149
../test_images/3840x2160.png;4;2;0.688932
../test_images/3840x2160.png;4;3;0.690742
../test_images/3840x2160.png;4;4;0.687792
../test_images/3840x2160.png;4;5;0.684739
../test_images/7680x4320.png;4;1;2.707349
../test_images/7680x4320.png;4;2;2.694882
../test_images/7680x4320.png;4;3;2.705013
../test_images/7680x4320.png;4;4;2.699912
../test_images/7680x4320.png;4;5;2.696770
