slika;niti;zagon;cas_s
valve.png;32;1;0.065787
valve.png;32;2;0.067005
valve.png;32;3;0.065396
valve.png;32;4;0.065917
valve.png;32;5;0.065622
../test_images/720x480.png;32;1;0.075736
../test_images/720x480.png;32;2;0.075832
../test_images/720x480.png;32;3;0.076181
../test_images/720x480.png;32;4;0.074404
../test_images/720x480.png;32;5;0.074610
../test_images/1024x768.png;32;1;0.142330
../test_images/1024x768.png;32;2;0.143123
../test_images/1024x768.png;32;3;0.143745
../test_images/1024x768.png;32;4;0.143002
../test_images/1024x768.png;32;5;0.143712
../test_images/1920x1200.png;32;1;0.348500
../test_images/1920x1200.png;32;2;0.347643
../test_images/1920x1200.png;32;3;0.346119
../test_images/1920x1200.png;32;4;0.345135
../test_images/1920x1200.png;32;5;0.330363
../test_images/3840x2160.png;32;1;1.015108
../test_images/3840x2160.png;32;2;1.024210
../test_images/3840x2160.png;32;3;1.019046
../test_images/3840x2160.png;32;4;1.041271
../test_images/3840x2160.png;32;5;1.014827
../test_images/7680x4320.png;32;1;4.083203
../test_images/7680x4320.png;32;2;4.014706
../test_images/7680x4320.png;32;3;4.000195
../test_images/7680x4320.png;32;4;4.052561
../test_images/7680x4320.png;32;5;3.924350
