slika;niti;zagon;cas_s
valve.png;32;1;0.082306
valve.png;32;2;0.082636
valve.png;32;3;0.082681
valve.png;32;4;0.076143
valve.png;32;5;0.080542
../test_images/720x480.png;32;1;0.082699
../test_images/720x480.png;32;2;0.081717
../test_images/720x480.png;32;3;0.085184
../test_images/720x480.png;32;4;0.079084
../test_images/720x480.png;32;5;0.083300
../test_images/1024x768.png;32;1;0.157871
../test_images/1024x768.png;32;2;0.153734
../test_images/1024x768.png;32;3;0.165580
../test_images/1024x768.png;32;4;0.153756
../test_images/1024x768.png;32;5;0.157378
../test_images/1920x1200.png;32;1;0.383543
../test_images/1920x1200.png;32;2;0.381297
