slika;niti;zagon;cas_s
valve.png;32;1;0.493598
valve.png;32;2;0.493747
valve.png;32;3;0.493484
valve.png;32;4;0.492814
valve.png;32;5;0.491735
../test_images/720x480.png;32;1;0.641959
../test_images/720x480.png;32;2;0.641254
../test_images/720x480.png;32;3;0.641734
../test_images/720x480.png;32;4;0.641868
../test_images/720x480.png;32;5;0.641046
../test_images/1024x768.png;32;1;1.509345
../test_images/1024x768.png;32;2;1.509135
../test_images/1024x768.png;32;3;1.510602
../test_images/1024x768.png;32;4;1.511291
../test_images/1024x768.png;32;5;1.502656
../test_images/1920x1200.png;32;1;4.608646
../test_images/1920x1200.png;32;2;4.601380
../test_images/1920x1200.png;32;3;4.605969
../test_images/1920x1200.png;32;4;4.606595
../test_images/1920x1200.png;32;5;4.601282
../test_images/3840x2160.png;32;1;16.937830
../test_images/3840x2160.png;32;2;16.921358
../test_images/3840x2160.png;32;3;16.919756
../test_images/3840x2160.png;32;4;16.972801
../test_images/3840x2160.png;32;5;17.067227
../test_images/7680x4320.png;32;1;68.309151
