slika;niti;zagon;cas_s
valve.png;8;1;0.224258
valve.png;8;2;0.230386
valve.png;8;3;0.225179
valve.png;8;4;0.226906
valve.png;8;5;0.224707
../test_images/720x480.png;8;1;0.257788
../test_images/720x480.png;8;2;0.258767
../test_images/720x480.png;8;3;0.266725
../test_images/720x480.png;8;4;0.259929
../test_images/720x480.png;8;5;0.257854
../test_images/1024x768.png;8;1;0.506088
../test_images/1024x768.png;8;2;0.499276
../test_images/1024x768.png;8;3;0.498422
../test_images/1024x768.png;8;4;0.500472
../test_images/1024x768.png;8;5;0.498551
../test_images/1920x1200.png;8;1;1.121008
../test_images/1920x1200.png;8;2;1.153465
../test_images/1920x1200.png;8;3;1.140313
../test_images/1920x1200.png;8;4;1.124151
../test_images/1920x1200.png;8;5;1.121864
../test_images/3840x2160.png;8;1;3.238008
../test_images/3840x2160.png;8;2;3.229475
../test_images/3840x2160.png;8;3;3.219134
../test_images/3840x2160.png;8;4;3.220890
../test_images/3840x2160.png;8;5;3.222126
../test_images/7680x4320.png;8;1;11.003916
../test_images/7680x4320.png;8;2;11.429796
../test_images/7680x4320.png;8;3;11.123835
../test_images/7680x4320.png;8;4;10.979358
../test_images/7680x4320.png;8;5;11.225751
