slika;niti;zagon;cas_s
valve.png;8;1;0.098997
valve.png;8;2;0.100303
valve.png;8;3;0.101652
valve.png;8;4;0.099029
valve.png;8;5;0.101500
../test_images/720x480.png;8;1;0.126597
../test_images/720x480.png;8;2;0.126938
../test_images/720x480.png;8;3;0.126358
../test_images/720x480.png;8;4;0.126092
../test_images/720x480.png;8;5;0.126217
../test_images/1024x768.png;8;1;0.286309
../test_images/1024x768.png;8;2;0.287342
../test_images/1024x768.png;8;3;0.286314
../test_images/1024x768.png;8;4;0.286779
../test_images/1024x768.png;8;5;0.297807
../test_images/1920x1200.png;8;1;0.877619
../test_images/1920x1200.png;8;2;0.866729
../test_images/1920x1200.png;8;3;0.859293
../test_images/1920x1200.png;8;4;0.861870
../test_images/1920x1200.png;8;5;0.859041
../test_images/3840x2160.png;8;1;3.007392
../test_images/3840x2160.png;8;2;2.928471
../test_images/3840x2160.png;8;3;2.958776
../test_images/3840x2160.png;8;4;2.894720
../test_images/3840x2160.png;8;5;2.912317
../test_images/7680x4320.png;8;1;11.882476
../test_images/7680x4320.png;8;2;11.922704
../test_images/7680x4320.png;8;3;12.078434
../test_images/7680x4320.png;8;4;11.758850
../test_images/7680x4320.png;8;5;12.211610
