slika;niti;zagon;cas_s
valve.png;8;1;0.018340
valve.png;8;2;0.018509
valve.png;8;3;0.018648
valve.png;8;4;0.018537
valve.png;8;5;0.018622
../test_images/720x480.png;8;1;0.021575
../test_images/720x480.png;8;2;0.021635
../test_images/720x480.png;8;3;0.021628
../test_images/720x480.png;8;4;0.021655
../test_images/720x480.png;8;5;0.021570
../test_images/1024x768.png;8;1;0.047862
../test_images/1024x768.png;8;2;0.047262
../test_images/1024x768.png;8;3;0.047860
../test_images/1024x768.png;8;4;0.046909
../test_images/1024x768.png;8;5;0.047104
../test_images/1920x1200.png;8;1;0.123815
../test_images/1920x1200.png;8;2;0.123478
../test_images/1920x1200.png;8;3;0.124127
../test_images/1920x1200.png;8;4;0.125726
../test_images/1920x1200.png;8;5;0.123349
../test_images/3840x2160.png;8;1;0.419415
../test_images/3840x2160.png;8;2;0.419570
../test_images/3840x2160.png;8;3;0.420586
../test_images/3840x2160.png;8;4;0.419066
../test_images/3840x2160.png;8;5;0.420656
../test_images/7680x4320.png;8;1;1.576926
../test_images/7680x4320.png;8;2;1.574957
../test_images/7680x4320.png;8;3;1.582488
../test_images/7680x4320.png;8;4;1.574130
../test_images/7680x4320.png;8;5;1.577035
