slika;niti;zagon;cas_s
valve.png;16;1;0.071085
valve.png;16;2;0.071602
valve.png;16;3;0.070930
valve.png;16;4;0.071096
valve.png;16;5;0.071495
../test_images/720x480.png;16;1;0.084631
../test_images/720x480.png;16;2;0.085516
../test_images/720x480.png;16;3;0.084941
../test_images/720x480.png;16;4;0.085656
../test_images/720x480.png;16;5;0.084686
../test_images/1024x768.png;16;1;0.177686
../test_images/1024x768.png;16;2;0.176091
../test_images/1024x768.png;16;3;0.180917
../test_images/1024x768.png;16;4;0.176853
../test_images/1024x768.png;16;5;0.177218
../test_images/1920x1200.png;16;1;0.447647
../test_images/1920x1200.png;16;2;0.446041
../test_images/1920x1200.png;16;3;0.446208
../test_images/1920x1200.png;16;4;0.446611
../test_images/1920x1200.png;16;5;0.451847
../test_images/3840x2160.png;16;1;1.595583
../test_images/3840x2160.png;16;2;1.601572
../test_images/3840x2160.png;16;3;1.609554
../test_images/3840x2160.png;16;4;1.612889
../test_images/3840x2160.png;16;5;1.632262
../test_images/7680x4320.png;16;1;5.586187
../test_images/7680x4320.png;16;2;5.695845
../test_images/7680x4320.png;16;3;5.688331
../test_images/7680x4320.png;16;4;5.611804
../test_images/7680x4320.png;16;5;5.649664
