image,threads,run,time_s
valve.png,8,1,0.017436
valve.png,8,2,0.017692
valve.png,8,3,0.017731
valve.png,8,4,0.017931
valve.png,8,5,0.017805
../test_images/720x480.png,8,1,0.021362
../test_images/720x480.png,8,2,0.021243
../test_images/720x480.png,8,3,0.021237
../test_images/720x480.png,8,4,0.021268
../test_images/720x480.png,8,5,0.021206
../test_images/1024x768.png,8,1,0.046572
../test_images/1024x768.png,8,2,0.046536
../test_images/1024x768.png,8,3,0.046833
../test_images/1024x768.png,8,4,0.046542
../test_images/1024x768.png,8,5,0.046574
../test_images/1920x1200.png,8,1,0.118234
../test_images/1920x1200.png,8,2,0.117187
../test_images/1920x1200.png,8,3,0.119265
../test_images/1920x1200.png,8,4,0.119700
../test_images/1920x1200.png,8,5,0.123662
../test_images/3840x2160.png,8,1,0.410324
../test_images/3840x2160.png,8,2,0.408224
../test_images/3840x2160.png,8,3,0.409079
../test_images/3840x2160.png,8,4,0.408766
../test_images/3840x2160.png,8,5,0.408006
../test_images/7680x4320.png,8,1,1.570171
../test_images/7680x4320.png,8,2,1.539892
../test_images/7680x4320.png,8,3,1.543318
../test_images/7680x4320.png,8,4,1.540278
../test_images/7680x4320.png,8,5,1.535407
