image,threads,run,time_s
valve.png,8,1,0.112896
valve.png,8,2,0.111915
valve.png,8,3,0.111906
valve.png,8,4,0.113128
valve.png,8,5,0.108245
../test_images/720x480.png,8,1,0.135139
../test_images/720x480.png,8,2,0.134406
../test_images/720x480.png,8,3,0.137556
../test_images/720x480.png,8,4,0.134010
../test_images/720x480.png,8,5,0.130770
../test_images/1024x768.png,8,1,0.309252
../test_images/1024x768.png,8,2,0.309370
../test_images/1024x768.png,8,3,0.297963
../test_images/1024x768.png,8,4,0.309527
../test_images/1024x768.png,8,5,0.309620
../test_images/1920x1200.png,8,1,0.877635
../test_images/1920x1200.png,8,2,0.861860
../test_images/1920x1200.png,8,3,0.863193
../test_images/1920x1200.png,8,4,0.874311
../test_images/1920x1200.png,8,5,0.874520
../test_images/3840x2160.png,8,1,3.027747
../test_images/3840x2160.png,8,2,3.064014
../test_images/3840x2160.png,8,3,3.026410
../test_images/3840x2160.png,8,4,3.029966
../test_images/3840x2160.png,8,5,3.009831
../test_images/7680x4320.png,8,1,11.246655
../test_images/7680x4320.png,8,2,11.233966
../test_images/7680x4320.png,8,3,11.226057
../test_images/7680x4320.png,8,4,11.555719
../test_images/7680x4320.png,8,5,11.254997
