image,threads,run,time_s
valve.png,8,1,0.212001
valve.png,8,2,0.209032
valve.png,8,3,0.210535
valve.png,8,4,0.211869
valve.png,8,5,0.208403
../test_images/720x480.png,8,1,0.240186
../test_images/720x480.png,8,2,0.247070
../test_images/720x480.png,8,3,0.244328
../test_images/720x480.png,8,4,0.239431
../test_images/720x480.png,8,5,0.244698
../test_images/1024x768.png,8,1,0.463104
../test_images/1024x768.png,8,2,0.466484
../test_images/1024x768.png,8,3,0.467822
../test_images/1024x768.png,8,4,0.466389
../test_images/1024x768.png,8,5,0.466075
../test_images/1920x1200.png,8,1,1.080940
../test_images/1920x1200.png,8,2,1.083995
../test_images/1920x1200.png,8,3,1.083717
../test_images/1920x1200.png,8,4,1.084489
../test_images/1920x1200.png,8,5,1.082695
../test_images/3840x2160.png,8,1,3.121427
../test_images/3840x2160.png,8,2,3.135539
../test_images/3840x2160.png,8,3,3.136031
../test_images/3840x2160.png,8,4,3.128194
../test_images/3840x2160.png,8,5,3.119151
../test_images/7680x4320.png,8,1,10.991714
../test_images/7680x4320.png,8,2,10.947589
../test_images/7680x4320.png,8,3,11.026964
../test_images/7680x4320.png,8,4,11.023081
../test_images/7680x4320.png,8,5,10.957610
